,latitude,longitude
0,39.95466530631701,116.11345295823038
1,39.889606664701915,116.17096415453243
2,39.94803451679371,116.22192700774367
3,39.99727431594303,116.19407231950511
4,39.81690682076811,116.25441151496972
5,39.874439649442444,116.26078282441199
6,39.92693088491566,116.26792127140024
7,39.91417540948352,116.30355238244356
8,39.79039147874719,116.32350947040896
9,39.8938049424296,116.33548204825578
10,39.86590703355758,116.36083006413294
11,40.15453534631693,116.13285055906847
12,40.11015016989444,116.26762157406748
13,39.979475166822375,116.26076085142878
14,39.999035143473485,116.28973794589024
15,40.011109109811606,116.3177509741001
16,40.06225079703138,116.31855165832475
17,39.94268693420901,116.31530135194102
18,39.92486859742213,116.35052692042517
19,39.95278845900868,116.35963885335269
20,39.96882280171235,116.37125122202163
21,39.972853687663175,116.30610339357395
22,39.98033079072982,116.32891103806028
23,39.9770170982009,116.34537757823216
24,39.990911707068285,116.35521264950266
25,39.860682432492375,116.41019530131621
26,39.90134122826318,116.41530800203628
27,39.83414070158468,116.48085213688336
28,39.910906131315514,116.45223552417633
29,39.92890127980312,116.46392500820014
30,39.90261562039701,116.50378346850648
31,39.95002861197285,116.48970922622141
32,39.9348564206835,116.54177820838758
33,39.89479127061587,116.58938166137847
34,39.90179339588376,116.67219107763934
35,39.97076224985259,116.72577096211664
36,39.96635704077759,116.39182347469247
37,39.959033246471435,116.4150148263317
38,40.00368829618646,116.39206424881654
39,39.98707243253402,116.41513877748481
40,39.95403879241669,116.44568557986264
41,39.97844121006345,116.44711210433088
42,39.98812785530147,116.45153785499511
43,40.02002927349154,116.45278473476627
44,40.076022295258376,116.47647581569414
45,40.05421488792968,116.40567806406916
46,40.1351572872707,116.47235474335959
47,40.15083867339328,116.52171144087166
48,40.03016459415238,116.55773906631205
49,40.08246894601811,116.60499236380811
