,latitude,longitude
0,39.88900754126921,116.05435702927473
1,39.78469328488212,116.14677531407935
2,39.95961491192348,116.10878787805179
3,39.889193343713806,116.20021294959521
4,39.93264560115267,116.18882885272014
5,39.80477401115704,116.2811585377915
6,39.86652519316153,116.26963550508464
7,39.91688767538212,116.26438296506747
8,39.91973410782891,116.30281445421028
9,39.779736589252735,116.3352527646205
10,39.870812962930394,116.35076765682834
11,39.91044932803482,116.34507202999262
12,40.10709289997318,116.11847512890164
13,40.004686611009916,116.20174617598002
14,40.02633074609454,116.26477009720836
15,40.04592493553645,116.30390335178669
16,40.07846946722179,116.31899017388882
17,40.137547704084696,116.28835192734373
18,39.98272620963096,116.27360564519853
19,39.982810539753125,116.30702912861726
20,39.942434818887364,116.33483183839606
21,39.975216129481865,116.32751797492021
22,39.962090212897486,116.36400201529044
23,39.98603801980348,116.355233244303
24,39.999296951327835,116.3268377116298
25,40.02978511645677,116.33604864670939
26,39.86347662401449,116.40252790356891
27,39.80557916469641,116.42680632234035
28,39.89970478693936,116.39302114658405
29,39.913254752482764,116.42458856575716
30,39.90694930562621,116.45927406722383
31,39.9305783067548,116.47963996691001
32,39.86365094383963,116.48272255651312
33,39.80414540263105,116.50793951957891
34,39.895275015592254,116.58712620731622
35,39.886275421113446,116.65341901815506
36,39.929681562064495,116.7083786115799
37,39.95754945507589,116.77106847533169
38,39.97431748530124,116.39288590733595
39,39.98938797465386,116.40826042719766
40,39.942104004170105,116.40471862387817
41,39.963911782365486,116.42465281390989
42,40.026873351286035,116.41555147072485
43,40.06504387644332,116.40709889216905
44,39.99270229960827,116.44675403836602
45,39.980376353335984,116.47807062910343
46,40.0893471182626,116.47238433617541
47,40.14716829623593,116.49422980936869
48,40.04037428292165,116.54587465322705
49,40.08343582819834,116.60758560050668
